stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"490625819","2016-07-18 13:39:47","UPDATE 1-Ukraine fertiliser plant attracts no bids, derailing privatisation","http://feeds.reuters.com/~r/reuters/financialsNews/~3/3-C6FOn7HBU/ukraine-crisis-privatisation-opz-idUSL8N1A44XL","en","False","finances, taxation, mergers, acquisitions and divestitures","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"499230020","2016-08-01 08:00:00","How Paul Manafort Wielded Power in Ukraine Before Advising Donald Trump","http://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html?&_r=0","en","False","politics and government, united states politics and government, elections","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"503777674","2016-08-22 04:06:52","RPT-Promised prosperity never arrived in Russian-held Crimea, locals say","http://feeds.reuters.com/~r/news/usmarkets/~3/Z-kGOESErHA/ukraine-crisis-crimea-idUSL8N1B318K","en","False","politics and government, labor, wages and salaries, prices (fares, fees and rates)","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"469721754","2016-05-23 11:21:21","Trump Presidency Will Be Another Disaster","http://www.huffingtonpost.com/diane-m-francis/trump-presidency-will-be-_b_10081712.html","en","False","politics and government, united states politics and government, elections, presidents and presidency (us), news and news media, media","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"551444600","2016-12-07 08:12:01","UPDATE 1-Major Ukraine privatisation flops as plant attracts no bids","http://feeds.reuters.com/~r/reuters/basicmaterialsNews/~3/qXcjhPhtnfg/ukraine-crisis-privatisation-idUSL5N1E234J","en","False","politics and government, finances, privatization, economic conditions and trends, mergers, acquisitions and divestitures","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"584420658","2017-02-21 16:28:55","Austria Approves Ukrainian's Extradition to U.S.","https://www.wsj.com/articles/austria-approves-ukrainian-dmytro-firtashs-extradition-to-u-s-1487696693?mod=fox_australian","en","False","politics and government, extradition","18839","blogs.wsj.com","http://blogs.wsj.com","United States","","English","United States","Print Native"
"625545063","2017-05-16 08:51:00","Manafort got $3.5 million mystery mortgage, paid no tax","http://www.cnbc.com/2017/05/16/manafort-got-mystery-mortgage-paid-no-tax.html","en","False","politics and government, finances, taxation, mortgages","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"692868194","2017-05-17 00:00:00","Feds subpoena records for $3.5M mystery mortgage on Manafort's home","https://www.nbcnews.com/news/us-news/manafort-got-3-5m-mystery-mortgage-paid-no-tax-n759866?cid=sm_npd_ms_tw_ma","en","False","","25499","NBC News","http://www.nbcnews.com","United States","","English","United States",""
"636862278","2015-12-02 13:59:57","Ukrainian mogul Firtash predicts Kiev government will fall next year","http://feeds.reuters.com/~r/Reuters/worldNews/~3/z6rwtJ9_TNY/story01.htm","en","False","politics and government, finances","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"528175121","2016-10-14 11:55:00","How Corruption Corrodes Ukraine's Economy","http://www.forbes.com/sites/kenrapoza/2016/10/14/how-corruption-corrodes-ukraines-economy/","en","False","politics and government, finances, ethics, banks and banking, economic conditions and trends, credit","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"692280257","2017-03-22 00:00:00","Manafort once worked to 'benefit the Putin government': Report","https://www.nbcnews.com/politics/donald-trump/paul-manafort-once-worked-benefit-putin-government-report-n736881?cid=public-rss_20170322","en","False","politics and government, finances","25499","NBC News","http://www.nbcnews.com","United States","","English","United States",""
