stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"416780069","2016-01-20 10:20:00","Oil volatility will be high in 2016: Sberbank","http://video.cnbc.com/gallery/?video=3000485409","en","False","quotation of the day","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"416780070","2016-01-20 10:20:00","Yuan is big challenge for PBOC: Sberbank CEO ","http://video.cnbc.com/gallery/?video=3000485410","en","False","quotation of the day","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"410214254","2015-12-29 08:43:00","Russia's Biggest Bank Threatens Mechel With Bankruptcy","http://www.forbes.com/sites/kenrapoza/2015/12/29/russias-biggest-bank-threatens-mechel-with-bankruptcy/","en","False","finances, banks and banking, economic conditions and trends, credit, corporations, mergers, acquisitions and divestitures, bankruptcies, executives and management","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"413772210","2016-01-11 08:33:00","Russia's Recession May Stick Around Longer As Ruble Weakens","http://www.forbes.com/sites/kenrapoza/2016/01/11/russias-recession-may-stick-around-longer-as-ruble-weakens/","en","False","finances, oil (petroleum) and gasoline, banks and banking, international trade and world market, economic conditions and trends, prices (fares, fees and rates), stocks and bonds, credit, currency, interest rates, foreign investments","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"544958603","2016-11-22 19:02:01","DIARY-Emerging Markets Economic Events to Dec. 30","http://feeds.reuters.com/~r/news/usmarkets/~3/oS1BTXiNYos/diary-emrg-econ-idUSL4N1DN3QW","en","False","finances, no index terms from nytimes, economic conditions and trends, credit","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"486444617","2016-07-06 15:28:00","CEO Of Russia's Biggest Bank Tells Locals To Ditch Euro, British Pound","http://www.forbes.com/sites/kenrapoza/2016/07/06/ceo-of-russias-biggest-bank-tells-locals-to-ditch-euro-british-pound/","en","False","finances, banks and banking, economic conditions and trends, currency","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"568796109","2017-01-18 07:52:00","Russia-US relations will see 'new chapter' but don't expect a quick end to sanctions: Sperbank CEO","http://www.cnbc.com/2017/01/18/russia-us-relations-will-see-new-chapter-but-dont-expect-a-quick-end-to-sanctions-says-ceo-of-russias-largest-bank.html","en","False","politics and government, united states politics and government, international trade and world market","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"568882069","2017-01-18 09:31:00","We have high expectations of President-elect Trump: Sberbank CEO","http://video.cnbc.com/gallery/?video=3000585260","en","False","","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"626544596","2017-05-17 10:32:18","Here’s A Closer Look At Donald Trump’s Disturbingly Deep Ties To Russia","https://finance.yahoo.com/news/closer-look-donald-trump-disturbingly-143218628.html","en","False","suits and litigation","18840","finance.yahoo.com","http://finance.yahoo.com","United States","","English","United States","Digital Native"
"634763031","2017-03-23 12:28:00","Trump’s Longtime Lawyer Is Defending Russia’s Biggest Bank","https://www.buzzfeed.com/anthonycormier/trumps-longtime-lawyer-is-defending-russias-biggest-bank?utm_term=.fa6bkYNzn#.qyo4m2L98","en","False","suits and litigation","6218","Buzzfeed","http://www.buzzfeed.com","United States","","English","none","Digital Native"
"634725308","2017-03-27 00:00:00","Jared Kushner had a previously undisclosed meeting with the CEO of 'the bank that financed Vladimir Putin’s grandest ambitions'","http://www.businessinsider.com/jared-kushner-russia-vnesheconombank-ceo-putin-2017-3?utm_source=feedburner&utm_medium=referral","en","False","politics and government, appointments and executive changes","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"404515620","2015-12-09 06:15:00","The Boldest Investment Idea For 2016","http://www.forbes.com/sites/kenrapoza/2015/12/09/the-boldest-investment-idea-for-2016/","en","False","finances, oil (petroleum) and gasoline, international trade and world market, economic conditions and trends, stocks and bonds, foreign investments","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"669862396","2017-06-16 00:00:00","There's a theme emerging in Mueller's Russia probe that could prove damning for Trump","http://www.businessinsider.com/trump-russia-probe-follow-the-money-mueller-2017-6#comments","en","False","politics and government, crime and criminals, ethics, frauds and swindling, organized crime, racketeering and racketeers","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"713033490","2016-02-02 07:16:36","Russia's Putin Aims to Privatize Some Companies to Fill Budget Hole","http://www.Newsmax.com/Finance/StreetTalk/russia-putin-privatize-oil-revenue/2016/02/02/id/712308","en","False","politics and government, finances, privatization, budgets and budgeting, oil (petroleum) and gasoline, banks and banking, economic conditions and trends, prices (fares, fees and rates), mergers, acquisitions and divestitures","25349","NewsMax","http://www.newsmax.com","United States","","English","United States","Digital Native"
"745404879","2017-12-13 20:57:38","Trump Says 'Historic' Tax Victory Is Close","https://www.bloomberg.com/news/videos/2017-12-14/trump-says-historic-tax-victory-is-close-video","en","False","taxation","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"692204602","2017-07-20 00:00:00","Mueller has expanded the Russia probe to include Trump's business dealings — here's what he's looking at","http://www.businessinsider.com/mueller-russia-investigation-trump-business-follow-money-2017-7","en","False","politics and government, finances, elections, ethics, frauds and swindling, organized crime","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"747370959","2017-06-16 14:53:25","There's a theme emerging in Mueller's Russia probe that could prove damning for Trump","http://www.businessinsider.com/trump-russia-probe-follow-the-money-mueller-2017-6","en","False","crime and criminals, ethics, frauds and swindling, organized crime","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"679690646","2017-08-25 00:00:00","Putin's New Favorite Official Plans Ministry of Future to Revamp Economy","https://www.bloomberg.com/news/articles/2017-08-25/putin-s-new-favorite-plans-ministry-of-future-to-revamp-economy","en","False","politics and government, economic conditions and trends","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"694835994","2017-05-18 17:01:00","Chaos Engulfing Trump Stirs Anxiety in Russia Over U.S. Ties","https://www.bloomberg.com/news/articles/2017-05-18/russia-grows-anxious-over-u-s-political-chaos-engulfing-trump?cmpid=socialflow-twitter-business&utm_content=business&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social","en","False","politics and government, finances, united states politics and government, united states international relations, international relations, banks and banking","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"883346834","2018-05-24 09:18:00","Robert De Niro says Trump not welcome at Nobu restaurants: 'I'd walk out'","http://www.foxnews.com/food-drink/2018/05/24/robert-de-niro-says-trump-not-welcome-at-nobu-restaurants-id-walk-out.html","en","False","restaurants","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"597894056","2017-03-23 04:41:56","It Took 60 Days to Unravel What Balkan Tycoon Built in 41 Years","https://www.bloomberg.com/politics/articles/2017-03-23/it-took-60-days-to-unravel-what-balkan-tycoon-built-in-41-years","en","False","finances, banks and banking, economic conditions and trends, credit","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"908065776","2016-09-26 00:00:00","Bitcoin Finds Berth at Sberbank’s Moscow Office Despite Ban Talk","https://www.bloomberg.com/news/articles/2016-09-26/bitcoin-finds-berth-at-sberbank-s-moscow-office-despite-ban-talk","en","False","computers and the internet, finances, computer software, economic conditions and trends, currency","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"910123750","2017-10-11 00:00:00","How Bitcoins Are Mined in Moscow Kitchens","https://www.bloomberg.com/news/articles/2017-10-11/russia-s-diy-cryptocurrency-miners-fall-under-shadow-of-kremlin","en","False","computers and the internet, finances, international trade and world market, mines and mining, metals and minerals","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"795509436","2018-02-11 22:00:09","Russian Billionaires Are Building Megaschools to Rival Eton and Exeter","https://www.bloomberg.com/news/articles/2018-02-12/russian-billionaires-are-building-megaschools-to-rival-eton-and-exeter","en","False","education and schools","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"912356942","2017-03-23 04:43:55","Russia Looms Over Balkan Giant's Fight to Survive: QuickTake Q&A","https://www.bloomberg.com/news/articles/2017-03-23/russia-looms-over-balkan-giant-s-fight-to-survive-quicktake-q-a","en","False","politics and government, finances, no index terms from nytimes, labor, economic conditions and trends","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"912355698","2018-05-25 06:47:33","Putin's Front Row Mixes Favored Tycoons With French, Japanese","https://www.bloomberg.com/news/articles/2018-05-25/putin-s-front-row-mixes-favored-tycoons-with-french-japanese","en","False","","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"912354419","2016-07-13 10:12:37","IMF Says Russian Banks Concealing Bad Debt May Need More Capital","http://www.bloomberg.com/news/articles/2016-07-13/imf-says-russian-banks-concealing-bad-debt-may-need-more-capital","en","False","finances, banks and banking, economic conditions and trends, credit, interest rates","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"912353843","2017-11-15 05:03:56","Sberbank Quarterly Profit Hits Record as Dividend Boost Eyed","https://www.bloomberg.com/news/articles/2017-11-15/sberbank-quarterly-profit-at-record-as-dividend-boost-considered","en","False","finances, banks and banking, economic conditions and trends, credit, company reports, corporations, interest rates","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"827133423","2018-03-19 16:30:00","Vladimir Putin's Last Stand?","https://www.forbes.com/sites/kenrapoza/2018/03/19/vladimir-putins-last-stand/","en","False","politics and government, united states politics and government, elections","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"643725238","2017-06-16 14:53:25","There's a theme emerging in Mueller's Russia probe that could prove damning for Trump","http://feedproxy.google.com/~r/businessinsider/~3/HgeJ-O04iuE/trump-russia-probe-follow-the-money-mueller-2017-6","en","False","politics and government, united states politics and government, elections, ethics, frauds and swindling, organized crime, racketeering and racketeers","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"627128286","2017-05-19 01:45:00","Russia-US relations have become 'extremely paranoid', says CEO of Russia's largest bank","http://www.cnbc.com/2017/05/19/russia-trump-putin-us-relations-have-become-extremely-paranoid-says-ceo-of-russias-largest-bank.html","en","False","politics and government, united states politics and government, elections, armament, defense and military forces, united states international relations, international relations","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"683656999","2017-02-14 07:00:00","Putin's Central Banker","https://www.bloomberg.com/news/features/2017-02-14/putin-s-central-banker-purges-100-banks-a-year-in-epic-crackdown","en","False","finances, banks and banking, economic conditions and trends","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"596912184","2016-01-28 13:34:00","Russia’s Great Shift Downward","https://www.bloomberg.com/news/articles/2016-01-28/russia-s-economy-faces-long-term-decline","en","False","finances, budgets and budgeting, oil (petroleum) and gasoline, banks and banking, international trade and world market, economic conditions and trends, prices (fares, fees and rates), credit, currency","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"593885569","2017-01-16 15:38:00","For Trump, Three Decades of Chasing Deals in Russia","https://www.nytimes.com/2017/01/16/us/politics/donald-trump-russia-business.html?_r=1","en","False","travel and vacations, housing, hotels and motels","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"709126552","2017-10-19 19:00:00","Putin Harangues West for Lack of `Respect' and Broken Trust","https://www.bloomberg.com/news/articles/2017-10-19/putin-harangues-west-for-lack-of-respect-and-broken-trust","en","False","politics and government, united states politics and government, elections","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"584278886","2017-02-21 20:35:04","The Trump bubble bursts in Moscow’s markets","https://www.washingtonpost.com/opinions/the-trump-bubble-bursts-in-moscows-markets/2017/02/21/437ec714-f877-11e6-bf01-d47f8cf9b643_story.html","en","False","politics and government, finances, terrorism, international trade and world market, economic conditions and trends, stocks and bonds","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"920641886","2017-03-07 00:00:00","EXCLUSIVE: Podesta Didn’t Register As A ‘Foreign Agent’ When He Represented A Bank With Ties To Russian Spy Agencies","http://dailycaller.com/2017/03/07/exclusive-podesta-didnt-register-as-a-foreign-agent-when-he-represented-a-bank-with-ties-to-russian-spy-agencies","en","False","politics and government, espionage","18775","Daily Caller","http://dailycaller.com","United States","","English","United States","Digital Native"
"908092553","2017-09-08 00:00:00","Russia Makes U-Turn on Cryptocurrencies After Backing From Putin","https://www.bloomberg.com/news/articles/2017-09-08/russia-makes-u-turn-on-cryptocurrencies-after-backing-from-putin","en","False","politics and government, finances, banks and banking, economic conditions and trends, credit, currency","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"784675927","2018-01-30 13:45:00","DC Think Tanks Fail To Deliver Russian 'Sanctions' Smackdown, Market Up","https://www.forbes.com/sites/kenrapoza/2018/01/30/dc-think-tanks-fail-to-deliver-russian-sanctions-smackdown-market-up/","en","False","politics and government, finances, lobbying and lobbyists","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"940818247","2018-07-30 09:39:00","Russian Commies Try Staging A Comeback","https://www.forbes.com/sites/kenrapoza/2018/07/30/russian-commies-try-staging-a-comeback/","en","False","finances, labor, retirement","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"931101381","2018-07-18 09:05:00","Russian Bank Profits Hit The Skids As Major Firms In Bear Market Territory","https://www.forbes.com/sites/kenrapoza/2018/07/18/russian-bank-profits-hit-the-skids-as-major-firms-in-bear-market-territory/","en","False","computers and the internet, finances, banks and banking, economic conditions and trends, credit","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"929991623","2018-07-16 09:41:13","Tesla Is Getting a Sales Bump in Russia","https://www.Newsmax.com/Finance/companies/tesla-sales-russia-elon-musk/2018/07/16/id/871869","en","False","automobiles, sales","25349","NewsMax","http://www.newsmax.com","United States","","English","United States","Digital Native"
"971091404","2018-09-03 12:00:00","Russia's Top 10 Most Influential: A Spy, A Woman, And Only One Private Company","https://www.forbes.com/sites/kenrapoza/2018/09/03/russias-top-10-most-influential-only-one-woman-and-one-private-company/","en","False","politics and government, finances, economic conditions and trends","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"627443988","2017-05-19 12:27:51","Democratic &#8216;Obsession&#8217; With Russia Collusion Damaging Foreign Relations","http://dailycaller.com/2017/05/19/democratic-obsession-with-russia-collusion-damaging-foreign-relations/","en","False","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations, embargoes and economic sanctions","18775","Daily Caller","http://dailycaller.com","United States","","English","United States","Digital Native"
"718373212","2017-11-02 13:29:59","A history of Donald Trump’s business dealings in Russia","https://www.washingtonpost.com/opinions/a-history-of-donald-trumps-business-dealings-in-russia/2017/11/02/fb8eed22-ba9e-11e7-be94-fabb0f1e9ffb_story.html","en","False","politics and government, ethics","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"819454510","2018-02-26 00:00:00","Trump’s Miss Universe Gambit","https://www.newyorker.com/magazine/2018/02/26/trumps-miss-universe-gambit?currentPage=all","en","False","contests and prizes","1101","New Yorker","http://www.newyorker.com/","United States","","English","United States","Print Native"
"779907459","2018-01-25 00:00:08","All the President’s Friends: These Are Trump’s Ties in Davos","https://www.bloomberg.com/graphics/2018-trump-davos-ties/","en","False","politics and government, finances, economic conditions and trends","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"1005243707","2018-09-27 13:18:00","Brotherly Heist: A Sad Story Of A Failed Russian Bank And Its Toxic Aftermath","https://www.forbes.com/sites/kenrapoza/2018/09/27/brotherly-heist-a-sad-story-of-a-failed-russian-bank-and-its-toxic-aftermath/","en","False","finances, suits and litigation, banks and banking, frauds and swindling, credit","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"632349459","2017-05-29 17:00:00","In Russia, Big Bank Considers Delivering Cash By Drone","http://www.forbes.com/sites/kenrapoza/2017/05/29/in-russia-big-bank-considers-delivering-cash-by-drone/","en","False","politics and government, finances, banks and banking, economic conditions and trends, credit","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"707965810","2017-10-17 18:23:00","Putin Rival Ties Kushner Meeting to Kremlin Bankers","http://www.nbcnews.com/politics/white-house/putin-rival-ties-kushner-meeting-kremlin-bankers-n811631?cid=public-rss_20171017","en","False","politics and government, oil (petroleum) and gasoline, sentences (criminal), freedom and human rights, tax evasion","25499","NBC News","http://www.nbcnews.com","United States","","English","United States",""
"656891327","2017-07-13 13:29:51","Trump's Two Nights of Parties in Moscow Reverberate Years Later","https://www.bloomberg.com/politics/articles/2017-07-13/trump-s-two-nights-of-parties-in-moscow-reverberate-years-later","en","False","politics and government, finances, biographical information","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"670632912","2017-07-10 08:00:00","How a Pageant Led to a Trump Son’s Meeting With a Russian Lawyer","https://www.nytimes.com/2017/07/10/us/politics/rob-goldstone-russia-trump.html?_r=0","en","False","contests and prizes","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"660526597","2017-07-20 10:31:00","Mueller Expands Probe to Trump Business Transactions","https://www.bloomberg.com/politics/articles/2017-07-20/mueller-is-said-to-expand-probe-to-trump-business-transactions","en","False","politics and government, finances, ethics, banks and banking, biographical information, housing","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"605685285","2016-12-21 07:00:00","The Day Trump Came to Moscow: Oligarchs, Miss Universe and Nobu","https://www.bloomberg.com/news/articles/2016-12-21/the-day-trump-came-to-moscow-oligarchs-miss-universe-and-nobu","en","False","politics and government, contests and prizes, photography","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"803011154","2018-02-19 05:00:00","Trump’s Miss Universe Gambit","https://www.newyorker.com/magazine/2018/02/26/trumps-miss-universe-gambit","en","False","contests and prizes","1101","New Yorker","http://www.newyorker.com/","United States","","English","United States","Print Native"
"953205282","2017-11-02 00:00:00","Opinion | A history of Donald Trump’s business dealings in Russia","https://www.washingtonpost.com/opinions/a-history-of-donald-trumps-business-dealings-in-russia/2017/11/02/fb8eed22-ba9e-11e7-be94-fabb0f1e9ffb_story.html?utm_term=.e928601d6be7","en","False","politics and government, news and news media, ethics","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"695416491","2017-07-12 00:00:00","The lawyer who met Donald Trump Jr. is well-connected in Russia","http://www.businessinsider.com/natalia-veselnitskaya-client-list-2017-7?utm_source=feedly&utm_medium=referral","en","False","politics and government, finances, taxation, frauds and swindling","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"817489988","2018-03-08 10:09:06","How Trump’s Beauty Contest Led To A Biz Deal With Russians And A Bond With Putin","https://www.huffingtonpost.com/entry/miss-universe-in-moscow-how-trumps-beauty-contest-spawned-a-business-deal-with-russians-and-a-bond-with-putin_us_5aa14c8de4b0e9381c164540","en","False","politics and government, finances, television, contests and prizes","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"660576151","2017-07-20 11:53:22","Mueller has expanded the Russia probe to include Trump's business dealings — here's what he's looking at","http://feedproxy.google.com/~r/businessinsider/~3/HnHvfkec3qs/mueller-russia-investigation-trump-business-follow-money-2017-7","en","False","politics and government, finances, ethics, frauds and swindling","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"634956990","2017-05-17 10:32:18","Here’s A Closer Look At Donald Trump’s Disturbingly Deep Ties To Russia","http://fortune.com/2017/05/17/donald-trump-russia-2/","en","False","suits and litigation","1095","CNN","http://www.cnn.com/","United States","GA, USA","English","United States","Video Broadcast"
"655117364","2017-07-10 12:28:33","How a Pageant Led to Trump Son&#x2019;s Meeting With Russian Lawyer","https://www.nytimes.com/2017/07/10/us/politics/rob-goldstone-russia-trump.html?partner=rss&emc=rss","en","False","news and news media","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"600060528","2016-04-11 02:54:04","For Trump, Three Decades of Chasing Deals in Russia","https://www.nytimes.com/2017/01/16/us/politics/donald-trump-russia-business.html?_r=0","en","False","travel and vacations, hotels and motels","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"1038784001","2018-09-15 00:00:00","Robert De Niro says Trump not welcome at Nobu restaurants: 'I'd walk out' | Fox News","https://www.foxnews.com/food-drink/robert-de-niro-says-trump-not-welcome-at-nobu-restaurants-id-walk-out","en","False","restaurants","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
