stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"481290348","2016-06-23 11:30:59","UPDATE 1-Russian development bank VEB to restructure Sochi Olympic loans","http://feeds.reuters.com/~r/reuters/financialsNews/~3/X_P867IBCXM/russia-veb-olympics-idUSL8N19F3CW","en","False","finances, banks and banking, credit","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"481542496","2016-06-24 04:03:36","Russia's VEB hopes to return to profit in 2018","http://feeds.reuters.com/~r/reuters/financialsNews/~3/1CbfYaKQKNY/russia-veb-idUSR4N19C01R","en","False","finances, company reports, corporations, mergers, acquisitions and divestitures","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"481559763","2016-06-24 05:07:47","UPDATE 1-Russia's VEB could return to profit from 2018","http://feeds.reuters.com/~r/reuters/financialsNews/~3/UUIxQiu0Bkw/russia-veb-idUSL8N19G2UG","en","False","finances, banks and banking, credit, mergers, acquisitions and divestitures","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"496651085","2016-08-03 06:53:25","Russia's VEB chairman: problems with liquidity solved for 2016","http://feeds.reuters.com/~r/reuters/financialsNews/~3/r-dBUArd6gM/russia-veb-liquidity-idUSR4N1AC02B","en","False","finances","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"539557037","2016-11-10 07:06:56","Russia's VEB chairman sees difficulties redeeming debt in 2017","http://feeds.reuters.com/~r/reuters/bankruptcyNews/~3/gYbdK2_H9mI/russia-veb-idUSL8N1DB4NH","en","False","finances, banks and banking, economic conditions and trends, credit","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"544782618","2016-11-22 09:49:44","Russia's VEB says it could lend over $2 bln to stalled projects in next 2 years","http://feeds.reuters.com/~r/reuters/financialsNews/~3/NlAcjdsKiz8/russia-veb-financing-idUSL8N1DN4KJ","en","False","politics and government, finances, banks and banking, economic conditions and trends, credit","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"559230007","2016-12-26 05:33:35","Russia's VEB sees 2016 loss at $2.1 billion","http://finance.yahoo.com/news/russias-veb-sees-2016-loss-103335963.html","en","True","finances, company reports, corporations","18840","finance.yahoo.com","http://finance.yahoo.com","United States","","English","United States","Digital Native"
"559234252","2016-12-26 05:30:01","Russia's VEB sees 2016 loss at $2.1 billion","http://feeds.reuters.com/~r/reuters/financialsNews/~3/51NH6PV1rek/russia-veb-idUSR4N1EE01V","en","False","finances, company reports, corporations","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"649750068","2017-06-26 08:00:55","Cohn for Fed buzz","http://www.politico.com/tipsheets/morning-money/2017/06/26/cohn-for-fed-buzz-221024","en","False","politics and government, finances, taxation, united states economy","18268","Politico","http://politico.com","United States","","English","United States","Print Native"
"640735239","2017-06-10 12:31:00","There are reams of evidence pointing to Trump's collusion with Russia","http://feedproxy.google.com/~r/businessinsider/~3/rbD-sIRUkHU/comeys-testimony-points-to-trumps-collusion-with-russia","en","False","politics and government, united states politics and government, ethics","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"663306090","2017-07-25 06:58:29","Putin Spokesman: No Kremlin Order for Kushner-Gorkov Talks","https://www.bloomberg.com/news/articles/2017-07-25/putin-spokesman-no-kremlin-order-for-kushner-gorkov-talks","en","True","politics and government, international relations","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"663350639","2017-07-25 09:18:00","The meeting between Jared Kushner and a senior banker from a Russian state-owned bank was not a Kremlin order.","http://feeds.latimes.com/~r/latimes/sports/basketball/nba/~3/ISnt4m6RvEE/la-na-essential-washington-updates-the-kremlin-did-not-order-the-meeting-1500986707-htmlstory.html","en","False","politics and government, united states politics and government, international relations","6","LA Times","http://www.latimes.com/","United States","California, United States","English","United States","Print Native"
"634725308","2017-03-27 00:00:00","Jared Kushner had a previously undisclosed meeting with the CEO of 'the bank that financed Vladimir Putin’s grandest ambitions'","http://www.businessinsider.com/jared-kushner-russia-vnesheconombank-ceo-putin-2017-3?utm_source=feedburner&utm_medium=referral","en","False","politics and government, appointments and executive changes","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"713145858","2017-07-25 06:42:19","Kremlin: Russian Banker Who Met Trump Son-in-Law Not Acting on Our Orders","http://www.Newsmax.com/Politics/kremlin-kushner-russia/2017/07/25/id/803566","en","False","politics and government, finances, united states politics and government, elections, international relations","25349","NewsMax","http://www.newsmax.com","United States","","English","United States","Digital Native"
"739639301","2017-12-07 15:29:38","Trump's long and winding history with Deutsche Bank could now be at the center of Robert Mueller's investigation","http://feedproxy.google.com/~r/businessinsider/~3/5LyEwteQg9M/trump-deutsche-bank-mueller-2017-12","en","False","politics and government, finances, banks and banking, credit","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"663280987","2017-07-25 07:27:06","Putin spokesman: No Kremlin order for Kushner-Gorkov talks","https://www.washingtonpost.com/world/europe/putin-spokesman-no-kremlin-order-for-kushner-gorkov-talks/2017/07/25/92b4cf34-7128-11e7-8c17-533c52b2f014_story.html","en","True","politics and government, united states international relations, international relations","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"754102235","2017-12-22 15:56:21","Federal prosecutors reportedly sought bank records related to Jared Kushner's family business","http://feedproxy.google.com/~r/businessinsider/~3/02gCyNIbFSs/federal-prosecutors-subpoena-deutsche-bank-jared-kushner-records-2017-12","en","False","politics and government, united states politics and government, elections, ethics","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"813693590","2018-03-03 08:49:36","Jarvanka out? Kushner’s business problems add to talk of DC exit","https://www.theguardian.com/us-news/2018/mar/03/jared-kushner-ivanka-trump-business-problems","en","False","politics and government, finances, united states politics and government, ethics, bankruptcies","623382","Guardian - United States","http://www.theguardian.com/us","United States","","English","","Print Native"
"692661852","2017-07-25 06:40:49","Russian banker who met Trump son-in-law not acting on our orders: Kremlin","http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/HMmnvBhyYoU/us-usa-trump-russia-kushner-kremlin-idUSKBN1AA15U","en","False","politics and government, finances, united states politics and government, elections, international relations","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"599815346","2017-03-27 11:20:42","Senate panel to question Trump son-in-law on Russia","http://feeds.reuters.com/~r/reuters/topNews/~3/MFOn2kfCwjA/us-usa-trump-russia-idUSKBN16Y1H6","en","False","politics and government, united states politics and government, elections, armament, defense and military forces, united states international relations, international relations","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
