stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"406399762","2015-12-15 15:49:49","A possible explanation for Putin's dead-arm walk","http://www.cbsnews.com/news/russia-leader-vladimir-putin-cronies-gunslingers-gait-bmj-concludes/","en","False","","1752","cbs news","http://www.cbsnews.com/","United States","NY, USA","English","United States","Video Broadcast"
"406555042","2015-12-15 09:12:00","It ain't got that swing: Putin's unusual walk shaped by KGB","http://feeds.foxnews.com/~r/foxnews/scitech/~3/uSyCSeZ4HEY/it-aint-got-that-swing-putins-unusual-walk-shaped-by-kgb.html","en","False","medicine and health, diseases and conditions","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"435319434","2016-03-15 19:54:00","Putin begins withdrawal after accomplishing many of his goals in Syria","http://www.latimes.com/la-fg-russia-syria-talks-20160315-story.html","en","False","politics and government, united states politics and government, armament, defense and military forces, terrorism, united states armament and defense, international relations, airlines and airplanes","6","LA Times","http://www.latimes.com/","United States","California, United States","English","United States","Print Native"
"463262091","2015-12-15 12:16:07","Moves Like Putin","http://www.slate.com/articles/health_and_science/medical_examiner/2015/12/vladimir_putin_and_other_russian_leaders_unusual_gait.html","en","False","medicine and health, diseases and conditions","19643","Slate.com","http://www.slate.com","United States","","English","United States","Digital Native"
"480059566","2016-06-20 12:28:01","Rival Kremlin camps prepare for battle over economy","http://feeds.reuters.com/~r/reuters/USenergyNews/~3/NMA3oMOq5us/russia-economy-reform-idUSL8N19C14E","en","False","politics and government, finances, oil (petroleum) and gasoline, international trade and world market, economic conditions and trends","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"489089694","2016-07-14 06:28:40","In economic crisis, Putin helps a mogul he once attacked","http://feeds.reuters.com/~r/Reuters/worldNews/~3/AgJ9g7s_gAs/us-russia-mechel-rescue-insight-idUSKCN0ZU0XL","en","False","finances, economic conditions and trends","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"500150754","2016-08-12 02:28:46","Kremlin fires Putin’s longtime ally Ivanov","http://rssfeeds.usatoday.com/~/178305648/0/usatoday-newstopstories~Kremlin-fires-Putin%e2%80%99s-longtime-ally-Ivanov/","en","True","politics and government","64866","USAToday","http://usatoday.com/","United States","Ohio, United States","English","United States","Print Native"
"500151950","2016-08-12 06:31:48","Russia's Putin dismisses head of Kremlin administration Ivanov","http://feeds.reuters.com/~r/Reuters/worldNews/~3/8kZo6N3QpmQ/us-russia-kremlin-idUSKCN10N13O","en","False","appointments and executive changes","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"500154394","2016-08-12 06:17:12","Vladimir Putin has unexpectedly fired a powerful ally","http://feedproxy.google.com/~r/businessinsider/~3/rObGKOGUJl8/vladimir-putin-fires-chief-of-staff-sergei-ivanov-2016-8","en","True","politics and government, united states politics and government, international relations, biographical information, suspensions, dismissals and resignations","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"500178589","2016-08-12 07:41:00","The ruble is tumbling","http://feedproxy.google.com/~r/businessinsider/~3/p-vD_t0PK_k/fx-markets-august-12-2016-8","en","False","economic conditions and trends, currency","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"500389141","2016-08-12 19:44:00","Putin suddenly sacked his longtime ally and chief of staff amid a major reshuffling within Russia's ruling elite","http://feedproxy.google.com/~r/businessinsider/~3/80CADoxfsXU/putin-sacks-chief-of-staff-amid-major-reshuffling-of-ruling-elite-2016-8","en","False","politics and government","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"500590114","2016-08-13 10:31:00","Putin gets new right-hand man as chief of staff exits","http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/I67jQePdPBQ/putin-gets-new-right-hand-man-as-chief-o","en","False","quotation of the day","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"500891635","2016-08-14 14:30:46","Russia’s season of menace","http://www.politico.com/www.politico.eu/article/vladimir-putin-kremlin-purge-russia-ukraine-crimea-olympics-season-of-menace/","en","False","olympic games, games","18268","Politico","http://politico.com","United States","","English","United States","Print Native"
"502356034","2016-08-18 02:00:01","Russian oil firm sale delay seen reflecting Kremlin pre-election unease","http://feeds.reuters.com/~r/reuters/companyNews/~3/aLNhiXCxdJI/russia-bashneft-privatisation-idUSL8N1AY2GR","en","False","politics and government, finances, oil (petroleum) and gasoline, international trade and world market","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"504859379","2016-08-24 10:29:00","Putin has 2 major problems","http://feedproxy.google.com/~r/businessinsider/~3/BccSrZ7Z3qk/putin-has-2-major-problems-2016-8","en","False","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"516867755","2016-09-22 15:54:06","Putin names close ally to head Russia’s spy agency","https://www.washingtonpost.com/world/europe/putin-names-close-ally-to-head-russias-spy-agency/2016/09/22/4569d9a8-80f7-11e6-9578-558cc125c7ba_story.html","en","True","politics and government, appointments and executive changes, legislatures and parliaments","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"516873579","2016-09-22 15:00:14","Putin names close ally to head Russia's spy agency","http://feeds.foxnews.com/~r/foxnews/world/~3/jiUjRw3xenU/putin-names-close-ally-to-head-russia-spy-agency.html","en","True","politics and government, appointments and executive changes, legislatures and parliaments","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"516899865","2016-09-22 17:30:40","Putin is taking Russia into a new and more sinister phase","http://feedproxy.google.com/~r/businessinsider/~3/CFWQZpWvvsc/putin-russia-sinister-phase-2016-9","en","False","politics and government, frauds and swindling, economic conditions and trends","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"519584778","2016-09-29 08:57:10","Vladimir Putin resurrects the KGB","http://www.politico.com/www.politico.eu/article/vladimir-putin-resurrects-the-kgb-moscow-security/","en","False","politics and government, appointments and executive changes","18268","Politico","http://politico.com","United States","","English","United States","Print Native"
"534108012","2016-10-27 23:14:55","Countries OK world’s largest marine reserve in Antarctica","http://rssfeeds.usatoday.com/~/217355870/0/usatoday-newstopstories~Countries-OK-world%e2%80%99s-largest-marine-reserve-in-Antarctica/","en","False","politics and government","64866","USAToday","http://usatoday.com/","United States","Ohio, United States","English","United States","Print Native"
"502151190","2016-08-17 13:47:36","40,000 Russian troops are preparing for war in Crimea, and the US is 'extremely concerned'","http://feedproxy.google.com/~r/businessinsider/~3/T_jC3VL1jzQ/40000-russian-troops-are-preparing-for-war-in-crimea-and-the-us-is-extremely-concerned-2016-8","en","False","politics and government, united states politics and government, armament, defense and military forces, united states armament and defense, united states international relations, international relations","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"501325638","2016-08-15 15:12:36","Putin is firing powerful allies and is setting himself up as tsar","http://feedproxy.google.com/~r/businessinsider/~3/b6flcj8CRVg/putin-is-firing-powerful-allies-and-is-setting-himself-up-as-tsar-2016-8","en","False","politics and government, biographical information","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"500348647","2016-08-12 11:33:35","Capital Journal Friday PM: Top Stories of the Week, More","http://feeds.wsjonline.com/~r/wsj/washwire/feed/~3/mT3V1H27OvY/","en","False","politics and government, united states politics and government, elections, presidents and presidency (us), presidential elections (us), presidential election of 1988","1150","Wall Street Journal","http://online.wsj.com/","United States","New York, United States","English","United States","Print Native"
"500279530","2016-08-12 12:50:27","Putin Fires Top Aide in Highest-Profile Dismissal in Years","http://www.wsj.com/articles/russias-putin-lets-top-aide-go-in-highest-profile-dismissal-in-years-1471016509?mod=fox_australian","en","False","politics and government, appointments and executive changes, biographical information, suspensions, dismissals and resignations","1150","Wall Street Journal","http://online.wsj.com/","United States","New York, United States","English","United States","Print Native"
"500171254","2016-08-12 06:56:01","Vladimir Putin Fires His Chief of Staff Sergei Ivanov","http://feedproxy.google.com/~r/time/topstories/~3/54iHBVuOGs4/","en","True","politics and government, united states politics and government, appointments and executive changes, biographical information, suspensions, dismissals and resignations","4419","Time","http://time.com","United States","","English","United States",""
"500249314","2016-08-12 14:52:37","Why Putin is sacking his most long-trusted advisors","http://www.cbsnews.com/news/russia-president-vladimir-putin-fires-chief-of-staff-sergei-ivanov-kremlin-shakeup/","en","True","politics and government, biographical information","1752","cbs news","http://www.cbsnews.com/","United States","NY, USA","English","United States","Video Broadcast"
"445538039","2016-04-14 13:42:00","Seismic Shifts Shake The Kremlin: How Long Will Putin Survive?","http://www.forbes.com/sites/melikkaylan/2016/04/14/seismic-shifts-shake-the-kremlin-how-long-will-putin-survive/","en","False","politics and government","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"489092501","2016-07-14 06:59:00","Putin helps an old foe in a bid to protect the Russian economy","http://feedproxy.google.com/~r/businessinsider/~3/powRRaSU49A/r-in-economic-crisis-putin-helps-a-mogul-he-once-attacked-2016-7","en","False","economic conditions and trends","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"500143550","2016-08-12 06:46:42","Kremlin fires Putin’s longtime ally Ivanov","https://www.washingtonpost.com/world/europe/kremlin-fires-putins-longtime-ally-ivanov/2016/08/12/eafb04c4-6076-11e6-84c1-6d27287896b5_story.html","en","True","politics and government, appointments and executive changes","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"500372945","2016-08-12 16:47:16","Headline Hangover: Trump Can't Kill Clinton; Making Phelps Fair","http://www.huffingtonpost.com/alex-iosiovich/headline-hangover-trump-c_b_11478560.html?utm_hp_ref=comedy&ir=Comedy","en","False","olympic games, games","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"500172803","2016-08-12 07:31:00","Vladimir Putin just fired his powerful right hand man","http://www.cnbc.com/2016/08/12/putin-gets-new-right-hand-man-as-veteran-chief-of-staff-steps-down.html","en","False","politics and government, united states politics and government, appointments and executive changes, international relations, biographical information","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"534040569","2016-10-27 22:14:04","In historic agreement, nations forge the world&#8217;s largest marine reserve in Antarctica","http://www.washingtonpost.com/news/energy-environment/wp/2016/10/27/in-historic-agreement-nations-forge-the-worlds-largest-marine-reserve-in-antarctica/?utm_source=rss_energy-environment","en","False","environment, fish and other marine life, animals","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"527197891","2016-10-14 00:00:00","Russia Is Vital to Protecting Antarctica&#x2019;s Ross Sea","http://www.nytimes.com/2016/10/14/opinion/russia-is-vital-to-protecting-antarcticas-ross-sea.html?partner=rssnyt&emc=rss","en","False","environment, fish and other marine life, animals, fishing, commercial","1","New York Times","http://nytimes.com","United States","NY, USA","English","United States","Print Native"
"500320264","2016-08-12 15:05:00","Putin removes chief of staff in major Kremlin shakeup","http://feeds.latimes.com/~r/latimes/sports/college/usc/~3/eAt7lECZwpM/la-fg-russia-kremlin-shakeup-20160812-snap-story.html","en","True","politics and government, armament, defense and military forces, appointments and executive changes, biographical information","6","LA Times","http://www.latimes.com/","United States","California, United States","English","United States","Print Native"
"587044087","2016-09-08 08:00:00","Vladimir Putin Is Grooming a New Generation of Leaders","https://www.bloomberg.com/news/articles/2016-09-08/putin-grooms-a-new-generation-of-leaders","en","False","politics and government, economic conditions and trends","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"636904447","2016-03-15 06:28:07","Russia to keep advanced S-400 air defence system in Syria, RIA cites Kremlin","http://reuters.us.feedsportal.com/c/35217/f/654235/s/4e45ae0b/sc/8/l/0L0Sreuters0N0Carticle0Cmideast0Ecrisis0Esyria0Erussia0Es0EidUSL5N16N2G10DfeedType0FRSS0GfeedName0FindustrialsSector/story01.htm","en","False","hispanic-americans, philanthropy, mathematics, weather, quotation of the day, automobiles, music, airlines and airplanes, new year, correction stories, trees and shrubs, home repairs, olympic games, apparel, home furnishings, earthquakes, home repairs and improvements, world trade center (nyc), fish and other marine life, office buildings and commercial properties, noise, animals, holidays and special occasions, hijacking, pentagon building, parties (social), death and dying, civil war and guerrilla warfare, war crimes and criminals, welfare (us)","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"507583632","2016-04-15 08:00:58","Commentary: Putin's ever-shrinking circle shows a return to Soviet politics","http://www.reuters.com/article/us-russia-putin-commentary-idUSKCN10W10Y","en","False","politics and government, united states politics and government, elections, frauds and swindling","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"636742729","2016-05-05 02:03:32","City where Soviet workers rose up stays calm in Russian crisis","http://feeds.reuters.com/~r/Reuters/worldNews/~3/fHx_mzc5FIk/us-russia-crisis-novocherkassk-idUSKCN0XW0CE","en","False","politics and government, labor","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"435289391","2016-03-15 17:18:25","Putin's Withdrawal From Syria Shows His Real Objective Wasn't Fighting ISIS","http://www.huffingtonpost.com/2016/03/14/russia-syria-withdrawal-putin_n_9472306.html?utm_hp_ref=politics&ir=Politics","en","False","politics and government, armament, defense and military forces, united states international relations, international relations","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"713140120","2016-08-12 07:36:26","Putin Fires Longtime Ally Sergei Ivanov","http://www.Newsmax.com/Newsfront/EU-Russia-Kremlin/2016/08/12/id/743307","en","False","politics and government, united states politics and government, armament, defense and military forces, appointments and executive changes, international relations, biographical information, suspensions, dismissals and resignations","25349","NewsMax","http://www.newsmax.com","United States","","English","United States","Digital Native"
"515521068","2016-09-19 17:41:00","What Is Russia's End Game? Escalation Of Tensions Between Moscow And Kiev","http://www.forbes.com/sites/realspin/2016/09/19/what-is-russias-end-game-escalation-of-tensions-between-moscow-and-kiev/","en","False","politics and government, united states politics and government, armament, defense and military forces, terrorism, united states international relations, international relations, international trade and world market, economic conditions and trends, embargoes and economic sanctions","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"534036546","2016-10-28 02:24:06","World's largest marine protected area created in Antarctica","http://www.cbsnews.com/news/worlds-largest-marine-protected-area-created-in-antarctica/","en","False","politics and government, travel and vacations","1752","cbs news","http://www.cbsnews.com/","United States","NY, USA","English","United States","Video Broadcast"
"503291036","2016-08-20 08:15:36","Ukraine at a Crossroads: Could Putin Lose His Job Over Mishandling the Crisis?","http://www.huffingtonpost.com/joseph-v-micallef/ukraine-at-a-crossroads-c_b_11613554.html","en","False","politics and government, finances, international trade and world market, economic conditions and trends","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"721985350","2017-11-08 12:02:34","Russia: Fire flares at spy agency headquarters; no injuries","https://www.washingtonpost.com/world/europe/russia-fire-flares-at-spy-agency-headquarters-no-injuries/2017/11/08/76d75460-c4a4-11e7-9922-4151f5ca6168_story.html","en","True","","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"501360246","2016-08-15 23:45:00","For the record","http://feeds.latimes.com/~r/latimes/sports/baseball/mlb/~3/dsPmSdD8jVk/la-a4-correx--20160815-snap-story.html","en","False","politics and government, united states politics and government, armament, defense and military forces, news and news media, media","6","LA Times","http://www.latimes.com/","United States","California, United States","English","United States","Print Native"
"776797983","2016-08-12 21:33:57","Russia Moves Air Defense Missiles into Crimea","http://www.breitbart.com/national-security/2016/08/12/russia-moves-state-art-air-defense-missiles-crimea/","en","False","politics and government, armament, defense and military forces","19334","Breitbart","http://www.breitbart.com","United States","","English","United States","Digital Native"
"775554030","2017-11-06 17:07:35","In Russia, Spies Come in From Cold","https://www.washingtonpost.com/archive/politics/2000/12/08/in-russia-spies-come-in-from-cold/5f7022da-eafa-40d7-9718-060143cbf99e/?utm_term=.f164b86d3247","en","False","armament, defense and military forces, espionage","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"775151259","2016-07-19 08:00:00","https://apps.washingtonpost.com/g/documents/politics/read-the-full-transcript-of-glenn-simpsons-senate-testimony/2700/","https://apps.washingtonpost.com/g/documents/politics/read-the-full-transcript-of-glenn-simpsons-senate-testimony/2700/","en","False","no index terms from nytimes","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"534082540","2016-10-28 01:49:00","Countries OK world's largest marine reserve in Antarctica","http://feeds.foxnews.com/~r/foxnews/world/~3/bPs0CI2uEUM/countries-ok-world-largest-marine-reserve-in-antarctica.html","en","True","politics and government","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"544116792","2016-09-12 16:40:47","https://www.bloomberg.com/view/articles/2016-09-12/putin-promotes-the-next-generation-of-ideological-cronies","https://www.bloomberg.com/view/articles/2016-09-12/putin-promotes-the-next-generation-of-ideological-cronies","en","False","politics and government, homosexuality, freedom and human rights","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"502513188","2016-08-18 09:00:19","There will be no &#8216;reset&#8217; with Russia","http://www.washingtonpost.com/news/in-theory/wp/2016/08/18/there-will-be-no-reset-with-russia/","en","False","politics and government, united states politics and government","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"842195714","2017-12-23 00:00:00","Russia issues stern warning U.S. is fueling new bloodshed in Ukraine","https://www.washingtonpost.com/world/national-security/russia-issues-stern-warning-us-is-fueling-new-bloodshed-in-ukraine/2017/12/23/7e90f78a-40bf-4967-95f0-af840a23ec63_story.html?utm_term=.edbd1037682e","en","False","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"735124970","2016-09-26 08:00:00","Opinion | Trump’s Russia adviser speaks out, calls accusations ‘complete garbage’","https://www.washingtonpost.com/news/josh-rogin/wp/2016/09/26/trumps-russia-adviser-speaks-out-calls-accusations-complete-garbage/?utm_term=.2ff798e5f7f0","en","False","politics and government, united states politics and government","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"436969872","2016-03-20 10:34:54","How long will Putin stay in power?","http://feeds.washingtonpost.com/c/34656/f/645348/s/4e63b48c/sc/13/l/0M0Swashingtonpost0N0Cnews0Cmonkey0Ecage0Cwp0C20A160C0A30C20A0Chow0Elong0Ecan0Eputin0Elast0C/story01.htm","en","False","politics and government","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"435291076","2016-03-15 17:24:21","Russia surprise withdrawal resonates from battlefield to peace talks","http://feeds.washingtonpost.com/c/34656/f/636708/s/4e493de2/sc/24/l/0M0Swashingtonpost0N0Cworld0Crussia0Ebegins0Esurprise0Ewithdrawal0Efrom0Esyria0Eas0Epeace0Etalks0Eget0Eunderway0C20A160C0A30C150Cfe3821fc0Eea1a0E11e50Ea9ce0E6810A55c7a0A5f0Istory0Bhtml/story01.htm","en","False","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"728513100","2017-11-20 05:34:29","Putin plan to rejuvenate Russian politics makes slow progress","http://feeds.reuters.com/~r/Reuters/worldNews/~3/O-0lMI2ZGr8/putin-plan-to-rejuvenate-russian-politics-makes-slow-progress-idUSKBN1DK14E","en","False","politics and government, united states politics and government","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"721614925","2017-10-06 00:00:00","Mueller reportedly interviewed the author of the Trump-Russia dossier — here's what it alleges, and how it aligned with reality","http://www.businessinsider.com/christopher-steele-trump-dossier-russia-timeline-2017-10#comments","en","False","politics and government, united states politics and government, elections, united states international relations, international relations","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"606653296","2016-05-31 15:36:51","The Very Strange Writings of Putin’s New Chief of Staff","http://www.newyorker.com/news/news-desk/the-very-strange-writings-of-putins-new-chief-of-staff","en","False","politics and government, books and literature, news and news media, ethics, biographical information","1101","New Yorker","http://www.newyorker.com/","United States","","English","United States","Print Native"
