stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"405976235","2015-12-14 07:18:42","The latest: Russia says Syrian rebels are receiving weapons","http://feeds.washingtonpost.com/c/34656/f/636708/s/4c388feb/sc/28/l/0M0Swashingtonpost0N0Cworld0Cmiddle0Ieast0Cthe0Elatest0Erussia0Esays0Esyrian0Erebels0Eare0Ereceiving0Eweapons0C20A150C120C140Cffbc4fe40Ea2580E11e50E83180Ebd8caed8c5880Istory0Bhtml/story01.htm","en","True","politics and government, armament, defense and military forces, international relations","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"405976665","2015-12-14 06:00:16","The latest: Russian general staff chief: Free Syrian Army is receiving weapons  from Russia","http://feeds.foxnews.com/~r/foxnews/world/~3/G-U53o0ChSc/","en","True","politics and government, no index terms from nytimes, armament, defense and military forces","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"406032640","2015-12-14 08:55:51","Free Syrian Army rebels deny receiving any Russian support","http://feedproxy.google.com/~r/businessinsider/~3/tWeyONebki0/free-syrian-army-rebels-deny-receiving-any-russian-support-2015-12","en","False","politics and government, united states politics and government, armament, defense and military forces, international relations, civil war and guerrilla warfare","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"406068344","2015-12-14 12:02:46","Syrian troops seize sprawling air base in rebel-held Damascus suburb ","http://feeds.foxnews.com/~r/foxnews/world/~3/Dr6nmPctwcI/","en","True","politics and government, no index terms from nytimes, armament, defense and military forces","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"406095979","2015-12-14 12:55:47","Kerry to explore Assad's future, Syria peace process in Kremlin talks","http://feeds.reuters.com/~r/reuters/topNews/~3/us7YexKqBUU/story01.htm","en","False","politics and government, united states politics and government, elections, armament, defense and military forces, terrorism, united states international relations, international relations","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"406247852","2015-12-15 02:37:00","Kerry in Russia talks to explore Syria peace process","http://www.cnbc.com/2015/12/15/kerry-to-explore-syria-peace-process-in-kremlin-talks.html","en","False","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"406276581","2015-12-15 04:08:49","Kerry seeks 'real progress' on Syria at Moscow talks","http://feeds.reuters.com/~r/reuters/topNews/~3/psz7sN-MLyE/story01.htm","en","False","politics and government, united states politics and government, united states international relations, international relations","4442","Reuters","http://www.reuters.com","United States","PA, USA","English","none","Other"
"435246891","2016-03-15 13:54:15","Why Putin's Failure to Investigate the Nemtsov Murder Will Lead to More Assassinations","http://feeds.huffingtonpost.com/c/35496/f/677612/s/4e486bd1/sc/28/l/0L0Shuffingtonpost0N0Cilya0Eyashin0Cputin0Enemtsov0Eassassination0Ib0I945640A60Bhtml0Dutm0Ihp0Iref0Fworld0Gir0FWorldPost/story01.htm","en","False","politics and government, news and news media, media, crime and criminals, murders and attempted murders, assassinations and attempted assassinations","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"439382147","2016-03-28 08:12:11","Russia to start clearing Palmyra of mines this week","http://feeds.foxnews.com/~r/foxnews/world/~3/Ufv5lVyc7h0/russia-to-start-clearing-palmyra-mines-this-week.html","en","True","politics and government, armament, defense and military forces, terrorism, united states international relations, international relations","1092","FOX News","http://www.foxnews.com/","United States","GA, USA","English","United States","Video Broadcast"
"439533416","2016-03-28 17:56:00","Most of Palmyra's ancient treasures appear to have survived Islamic State vandalism","http://feeds.latimes.com/~r/latimes/sports/motorracing/~3/Y7tvwfxgIUg/la-fg-syria-palmyra-20160328-story.html","en","False","religion and churches, archaeology and anthropology, travel and vacations","6","LA Times","http://www.latimes.com/","United States","California, United States","English","United States","Print Native"
